country_name,code,cost,gdp,voice,politicalstability,govteffectiveness,regulatory,ruleoflaw,corruption,popn2004,migrants,migprop,flowuscanz,region,restrict,commonwealth,language
Eswatini Swaziland,SWZ,4.74,1660,-1.45,0.23,-0.6,-0.36,-0.95,-0.95,1119841,2502,0.002229265,36,Africa,yes,yes,English
Sweden,SWE,63.52,35770,1.52,1.38,1.92,1.54,1.85,2.2,8985000,236628,0.025660111,1707,Europe,no,no,Other
Switzerland,CHE,92.38,48230,1.49,1.44,2.25,1.55,1.98,2.17,7382000,322367,0.041842114,1607,Europe,no,no,French
Tajikistan,TJK,37.4,280,-1.12,-1.19,-1.05,-1.16,-1.18,-1.11,6430000,453812,0.06592452,184,Asia,no,no,Other
Tanzania,TZA,44.25,330,-0.35,-0.38,-0.37,-0.55,-0.49,-0.57,36600000,73281,0.001998212,1114,Africa,no,yes,English
Thailand,THA,24.39,2540,0.24,-0.15,0.38,-0.01,-0.05,-0.25,62400000,415124,0.006608663,6134,Asia,no,no,Other
Tonga,TON,43.48,1830,-0.35,0.72,-0.73,-0.43,-0.11,-0.68,101803,46135,0.311853193,1265,Oceania,no,yes,English
Trinidad and Tobago,TTO,23.97,8580,0.49,0.04,0.47,0.61,0.17,0.02,1323368,303767,0.186688259,6135,NoAm,no,yes,English
Tunisia,TUN,28.7,2630,-1.11,0.16,0.57,-0.22,0.24,0.29,10000000,394557,0.037958039,1220,Africa,no,no,Arabic
Turkey,TUR,333.57,3750,-0.15,-0.6,0.01,-0.07,0.04,-0.23,71700000,2188014,0.02961257,6367,Europe,no,no,Other
Ukraine,UKR,33.97,1260,-0.62,-0.27,-0.67,-0.48,-0.83,-0.89,48000000,5241700,0.098451026,16298,Europe,yes,no,Other
United Kingdom,GBR,74.28,33940,1.37,0.77,1.85,1.62,1.71,2.06,59400000,3483629,0.055398027,46084,Europe,no,no,English
United States,USA,97,41400,1.21,0.47,1.8,1.22,1.58,1.83,294000000,1567811,0.005304404,9779,NoAm,no,no,English
Vanuatu,VUT,45.35,1340,0.68,0.53,-0.6,-0.33,-0.07,-0.53,214969,2165,0.009970788,23,Oceania,no,yes,English
Venezuela,VEN,20.51,4020,-0.46,-1.1,-0.96,-1.24,-1.1,-0.94,26100000,297458,0.011268433,7543,SoAm,no,no,Spanish
Vietnam,VNM,12.57,550,-1.54,0.16,-0.31,-0.57,-0.59,-0.74,82200000,1665417,0.019858209,35693,Asia,no,no,Other
Zambia,ZMB,16.78,450,-0.36,-0.16,-0.84,-0.49,-0.54,-0.74,10500000,38875,0.003688724,615,Africa,no,yes,English
